name,description,website,location,incubator_name
Brieff,Brieff is a B2B SaaS platform that lets accountants and their teams deliver tailored advisory services at scale.,https://www.brieff.io/,"Sydney, New South Wales, Australia, Oceania",Antler
Codis.io,Codis.io automates the conversion of designs into production-ready code.,https://codis.io,"Melbourne, Victoria, Australia, Oceania",Antler
Billsmoov,Billsmoov is an intelligent bill management platform that reinvents how bills are managed and paid.,https://billsmoov.com.au,"Melbourne, Victoria, Australia, Oceania",Antler
Andisor,"Andisor is a fashion B2B marketplace, connecting global emerging brands with Australian retailers.",https://www.andisor.com/,"Melbourne, Victoria, Australia, Oceania",Antler
Earlytrade,Earlytrade creates a positive change in the way businesses.,https://www.earlytrade.com/,"Sydney, New South Wales, Australia, Oceania",Antler
FitFlo,"FitFlo is the operating system that powers the connected in-gym experience for Operators, Trainers and Members.",https://www.fitfloapp.com/,"Melbourne, Victoria, Australia, Oceania",Antler
Docufen,Docufen is an add-in that allows users to fill out their documents and add attachments electronically in their original Microsoft Word file.,https://docufen.com,"Sydney, New South Wales, Australia, Oceania",Antler
Acanthis,Acanthis is an integrated SaaS web app that gives SMBs the insights and advice that they need in a way that they can understand.,https://acanthis.io,"Sydney, New South Wales, Australia, Oceania",Antler
Sortd,Sortd develops solutions that simplify the way customers shop online for more informed and efficient purchases.,https://www.getsortd.co,"Sydney, New South Wales, Australia, Oceania",Antler
One Key Access,One Key Access provides users with universal access to buildings from a single app.,https://www.onekeyaccess.com.au/,"Melbourne, Victoria, Australia, Oceania",Antler
Figr,Figr is a startup that uses artificial intelligence to transform the product design process.,https://figr.design/,"Bengaluru, Karnataka, India, Asia",Antler
Screenify,Screenify is an AI powered interactive and automated audio/video interviewing platform,https://screenify.ai,"San Francisco, California, United States, North America",Antler
Magnet Labs,SaaS subscription management,https://getmagnet.io/,"Copenhagen, Hovedstaden, Denmark, Europe",Antler
CHOYS,CHOYS is a holistic wellness subscription platform for organizations and employees that provides employees with access to benefits.,https://getchoys.com/,"Singapore, Central Region, Singapore, Asia",Antler
Skoutli,"Skoutli is a digital platform that offers location and vehicle rental services for photo shoots, video shoots, and advertisements.",https://www.skoutli.com/,"Sydney, New South Wales, Australia, Oceania",Antler
PickUp Coffee,PickUp Coffee is a start-up that aims to increase the accessibility of espresso and milk-based beverages.,https://www.pickup-coffee.com,"Taguig, Rizal, Philippines, Asia",Antler
CryptoHero,CryptoHero is a mobile app that allows to build cryptocurrency investment portfolio with practicality and security.,https://www.cryptohero.com.br/,"Sumaré, Sao Paulo, Brazil, South America",Antler
ICBRG,ICBRG makes the ion battery intelligence system for transportation that reduce emissions.,https://www.icbrg.co/,"Viken, Troms, Norway, Europe",Antler
Novem,Novem is a startup that builds fully automated softwares strengthening the human machine interaction.,https://novem.no,"Oslo, Oslo, Norway, Europe",Antler
Visoid,Visoid is a visualization software that uses artificial intelligence to create architectural model images.,https://www.visoid.com/#about,"Oslo, Oslo, Norway, Europe",Antler
Arctiq,"Arctiq uses AI to capture, utilize, and share knowledge, revolutionizing the learning experiences.",https://www.arctiq.ai/,,Antler
Alcolase,Alcolase is a Danish life science start-up that specializes in alcohol flushing.,https://alcolase.com,"Copenhagen, Hovedstaden, Denmark, Europe",Antler
Buility,Buility develops SaaS software for Chief Product Officers that helps to enhance product discovery and delivery.,https://www.buility.com/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
bluesheets,"bluesheets eliminates manual processes with AI-enabled workflows, incorporating its proprietary fileAI engine to digitise and enrich data.",https://bluesheets.ai,"Singapore, Central Region, Singapore, Asia",Antler
infrared.city,SaaS for climate simulations,https://www.infrared.city,"Vienna, Wien, Austria, Europe",Antler
Vero Technologies,Vero Technologies is an end-to-end wholesale finance platform,https://www.vero-technologies.com/,"New York, New York, United States, North America",Antler
Zolo,"Zolo is an AI-driven mobile application that can transfer food orders received on WhatsApp, Zalo, and Line automatically to ERP systems.",https://zolomart.co,"Singapore, Central Region, Singapore, Asia",Antler
Henko,Henko helps financial service firms to efficiently identify and analyse regulatory changes.,https://tryhenko.com/,,Antler
Hexo,Hexo is a custom AI image generation engine.,https://hexo.ai/,"Bengaluru, Karnataka, India, Asia",Antler
SourceOps,SourceOps is a software company that detects and patches software security vulnerabilities using modern AI techniques.,https://sourceops.io,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
Club Kyta,Club Kyta provides high-quality lifestyle brands for tier-2 and 3 cities in Indonesia.,https://clubkyta.com/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
913.ai,Deep Automation of Specialist Workflows via our proprietary AI Infrastructure.,https://www.913.ai,"Hamburg, Hamburg, Germany, Europe",Antler
Pandria,"Pandria provides a conversational performance management platform that unlocks instant, easy and fair feedback.",https://pandria.com/,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
LangWatch,Build AI with confidence: The quality & analytics platform for Generative AI,https://langwatch.ai/,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
BankBridge,"BankBridge provides banking solutions, financial risk management, and compliance advisory services to financial institutions.",https://www.bankbridge.uk/,,Antler
ConnectX,ConnectX provides smart energy solutions for homes like virtual power plants and grid modernization and localization to optimize energy use.,https://www.connectex.io,"Calgary, Alberta, Canada, North America",Antler
SweatPals,SweatPals is a peer-to-peer marketplace connecting fitness communities and fitness enthusiasts.,https://www.sweatpals.com,"Austin, Texas, United States, North America",Antler
Graceful Finance,Graceful Finance is a fintech platform focused on providing life-changing financial and software solutions for older adults.,https://www.graceful.finance/,"Miami, Florida, United States, North America",Antler
Nevemind,"Nevemind is a desktop assistant that lets you find any files, notes or discussions across multiple platforms through a single search bar.",https://www.nevemind.com/,"Oslo, Oslo, Norway, Europe",Antler
Novo,Novo is to make it easier for everyone to take stock and plan energy-related renovations.,https://novo.eco/,"Berlin, Berlin, Germany, Europe",Antler
NOVO,"Digital analysis, planning and financing of energy renovation for real estate",https://www.buildingnovo.com,"Berlin, Berlin, Germany, Europe",Antler
Tulix,"Tulix helps Africans globally to share money, budget and manage finances without losing visibility over how and where money is used.",https://www.tulix.app,"Nairobi, Nairobi Area, Kenya, Africa",Antler
SAFELOG,SAFELOG provides complete and robust intralogistics solutions with a variety of mobile robot offerings and picking systems.,https://www.safelog.de/en/,"Markt Schwaben, Bayern, Germany, Europe",Antler
Kamoo,Kamoo is a business company that aids the business documentation.,https://www.kamoo.id/,"Yogyakarta, Yogyakarta, Indonesia, Asia",Antler
Maekersuite,"Maekersuite is a video platform that predicts what works based on trends, to create amazing, original content 10X better.",https://maekersuite.com,"London, England, United Kingdom, Europe",Antler
Pickles,Pickles is a pet health care service company.,https://pickles.co,"London, England, United Kingdom, Europe",Antler
Servo AI,Servo offers an AI-powered platform that optimizes front-of-house workflow to maximize performance and drive profit.,https://www.iamservo.com,"London, England, United Kingdom, Europe",Antler
REmited,"REmited provides the brand with customer behavioural data that can be utilised for marketing, based on actual purchasing data from receipts.",https://www.teamremited.com/,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",Antler
NearRound,NearRound is a cafe select shop tailored to everyone's taste and a place where new coffee lifestyle can be experienced.,http://www.nearound.co/,"Jeju, Cheju-do, South Korea, Asia",Antler
family.cards,family.cards is a barrier-free access to digital solutions for seniors that gives them access to all the tools to manage their situation.,https://www.family.cards/en,"Berlin, Berlin, Germany, Europe",Antler
Genie,Genie builds low/no-code tools for quickly creating and deploying data apps.,https://genieframework.com/,"Barcelona, Catalonia, Spain, Europe",Antler
HIGHR Collective,HIGHR is a beauty company tackling climate change by sustainably producing impact lip products.,https://highrcollective.com,"London, England, United Kingdom, Europe",Antler
Noki,Noki is a data enrichment platform that aids B2B SaaS companies in identifying and targeting prospects.,https://noki.so,"London, England, United Kingdom, Europe",Antler
SafeLog.ai,SafeLog.ai is a background screening tool that helps companies to hire right candidates.,https://www.safelogai.com/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Cereal,Cereal is still working under the stealth mode.,https://cereal.parts/,,Antler
Alter,Alter is a game developing platform that is still working in stealth mode.,https://alterx.xyz/#,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Aimars,Aimars is an AI-driven sales optimization platform that helps businesses understand their customers better by analyzing data.,https://aimars.io/,"Berlin, Berlin, Germany, Europe",Antler
Metalynx,Metalynx empowers data owners and domain experts to create their own computer vision applications with minimal technical training.,https://www.meta-lynx.com,"London, England, United Kingdom, Europe",Antler
TradePulse,TradePulse is a finance tech platform that helps SMEs to track their real time finances and working capital.,https://tradepulse.io/#home,"Nairobi, Nairobi Area, Kenya, Africa",Antler
Stofee,Stofee enables fashion manufacturers to diversify supply chain and source their products globally.,https://stofee.com/,"Singapore, Central Region, Singapore, Asia",Antler
Heystack,Heystack is an events-based social network to people match with the people around so that one can meet face-to-face without making it weird.,https://heystack.social/,"Berlin, Berlin, Germany, Europe",Antler
HelloCurve,"SaaS, Customer Support Platform, B2B",https://www.hellocurve.io/,"Dubai, Dubai, United Arab Emirates, Asia",Antler
HIFI,HIFI is a banking and digital asset payments company that creates the open operating system for money.,http://Hifibridge.com,"New York, New York, United States, North America",Antler
Dishy,Dishy is an online platform that provides the information about preparation of different dishes and recepies.,https://www.dishy.shop/,,Antler
Fab,Fab provides a platform to identify the true visitors and convert them into prospective sales or customers.,https://www.fab.page/,,Antler
Lombard Standard K.K.,We track commercial real estate investors and rank potential transactions using AI.,https://lombardstandard.com,"Tokyo, Tokyo, Japan, Asia",Antler
MIXe.Store,MIXe is a top grocer for South-Asian Expat customers in Europe with cross-border e-commerce platform to deliver ethnic groceries and food.,https://mixe.store/,"Paris, Ile-de-France, France, Europe",Antler
Locad,"All systems go with the logistics engine enabling e-commerce brands to store, pack, ship, & track orders in Asia-Pacific",https://www.golocad.com,"Singapore, Central Region, Singapore, Asia",Antler
Kepler + Co,"Kepler + Co is a platform that provides advanced learning path analytics, skills gap analysis, and skills gap remediation.",https://www.keplerco.io,"London, England, United Kingdom, Europe",Antler
Liively,"Liively's cutting-edge, contactless ordering platform transforms how you enjoy food, drinks, and merchandise at venues and events.",https://www.liive.ly,"Melbourne, Victoria, Australia, Oceania",Antler
Hazana,Hazana provides sustainable financial solutions to Small and Medium Enterprises.,https://hazana.id/en/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
HelloMida,HelloMida is a DTC fashion commerce platform.,https://hellomida.vn/,"Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",Antler
Breyta,"Unify and activate data from your product, CRM, support and billing tools to accelerate revenue. Without a single line of code.",https://breyta.io,"Oslo, Oslo, Norway, Europe",Antler
ScreenApp,"Record, Transcribe, Summarise and take notes. ScreenApp will watch the video for you.",http://screenapp.io,"Sydney, New South Wales, Australia, Oceania",Antler
Katalis AI,Swiss Army knife for ecommerce marketing,https://www.katalis.ai,"Singapore, Central Region, Singapore, Asia",Antler
PLans,Plans provides fertility services and helps to plan pregnancy.,https://with-plans.com/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Sqouts,Sqouts is a recruitment agency that helps companies in efficient and effective recruitment.,https://www.sqouts.com/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Beemi,Beemi is a live-entertainment platform where one can earn as a creator by playing games together with live audience.,https://beemi.app/,"Addis Ababa, Adis Abeba, Ethiopia, Africa",Antler
Luminy,Luminy helps to achieve financial freedom by providing innovative debt resolution solutions.,https://luminy.se/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
TruBuild,Trubuild is an AI-driven platform - Bridging the gap between contracts and construction worlds,https://www.trubuild.io,"Riyadh, Ar Riyad, Saudi Arabia, Asia",Antler
WeGoWhere,"WeGoWhere is a social app that lets people build and manage their relationships, in person.",https://wegowhere.com/,"Singapore, Central Region, Singapore, Asia",Antler
Two,"Two is a fintech startup that is building something akin to buy now, pay later for B2B purchases.",https://www.two.inc/,"Oslo, Oslo, Norway, Europe",Antler
Jenni AI,"Jenni AI is an academic writing tool, helping people avoid writers block and craft stunning essays, research papers and other academic work.",https://jenni.ai/,"Wilmington, Delaware, United States, North America",Antler
Vini Mini,Vini Mini deserves the same chance at a healthy and happy start to life.,https://vinimini.nl/,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
Youth Healthtech,"Youth Healthtech is a health screening tool providing users with insights on their brain, metabolic, cardiovascular, and mental health.",https://www.youth-prevention.com/,"New York, New York, United States, North America",Antler
Synna,"Synna is an AI-based workplace knowledge assistant enabling employees to find and understand internal data, documents and resources.",https://www.synna.ai/,"Singapore, Central Region, Singapore, Asia",Antler
NeoCarbon,"NeoCarbon is a cleantech startup that builds and markets the technology for Direct Air Capture (DAC), capturing CO2 directly from the air.",https://www.neocarbon.tech/,"Berlin, Berlin, Germany, Europe",Antler
Tidalflow,Tidalflow is pioneering a GPS moment for physical health and provides fitness plans tailored to individual needs.,https://tidalflow.com,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
Annuum,Annuum operates as a B2B credit financing platform that connects borrowers to a diverse array of institutional lenders.,https://www.annuum.io/,"Oslo, Oslo, Norway, Europe",Antler
Red Flags,"Red Flags is a dating application that offers end to end relationship coaching, self awareness, and support.",https://www.redflagsdating.com/,,Antler
NatureBoss,NatureBoss is a event planning company that offers environmental experiences to corporate companies and conference delegates.,https://www.natureboss.com.au/,"Melbourne, Victoria, Australia, Oceania",Antler
Legback,Unlock Legal Research & Document Intelligence with AI,https://www.legback.com/,"Singapore, Central Region, Singapore, Asia",Antler
BetterChoice,"BetterChoice is an independent, holistic and transparent score empowering sustainable behaviour at point of purchase.",https://betterchoice.today/,"Copenhagen, Hovedstaden, Denmark, Europe",Antler
doecos,doecos aids clients in attaining sustainable home heating by helping them plan and manage energy improvements on their property.,https://www.doecos.dk/,"Frederiksberg, Hovedstaden, Denmark, Europe",Antler
Traxlo,The operator of grocery store tasks & staff marketplace - Tasku.app,https://www.traxlo.com/,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",Antler
Insutex,Insutex is a construction company that focus on sustainability by offering environmental friendly construction materials from textile waste.,https://www.insutex.co/,"Aarup, Syddanmark, Denmark, Europe",Antler
Legitify,"Simplifying cross-border transactions, digitalizing notarization",https://www.legitify.eu/,"Dublin, Dublin, Ireland, Europe",Antler
Benjamin,Benjamin Money Moments - Make Life More Rewarding!,https://www.benjaminone.com,"New York, New York, United States, North America",Antler
Persona Studios,AI-Powered Digital Clones & Assistants,https://personastudios.ai/,"Singapore, Central Region, Singapore, Asia",Antler
Gapai,Online portal that connects Prospective Workers and Employers to meet the needs of Migrant workers,https://gapai.id,"Cilandak, Jakarta Raya, Indonesia, Asia",Antler
Talendary,"Talendary provides an AI software that automates candidate screening, accelerating the process, and shortlisting qualified candidates.",https://talendary.com,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
AIfluence,AI-Driven Influencer Marketing Platform,http://www.ai-fluence.com/,"Newark, Delaware, United States, North America",Antler
Match Made,Match Made provides reconciliation software for Enterprises,https://www.matchmade.io/,"Singapore, Central Region, Singapore, Asia",Antler
Tilly,Tilly wants to change the dialogue about fertility and make it easier to be proactive.,https://www.mytilly.co/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
MIXe.Store,MIXe is a top grocer for South-Asian Expat customers in Europe with cross-border e-commerce platform to deliver ethnic groceries and food.,https://mixe.store/,"Paris, Ile-de-France, France, Europe",Antler
Transitry,Where Data Integrity Meets Carbon Project Credibility,https://www.Transitry.com,"Singapore, Central Region, Singapore, Asia",Antler
Plotch,AI driven e-commerce ERP,https://plotch.ai,"Mumbai, Maharashtra, India, Asia",Antler
Jobreel,Jobreel creates and operates a digital job-seeking platform for working students and fresh graduates.,https://www.jobreel.com,"Berlin, Berlin, Germany, Europe",Antler
cartd,"Grocery shopping - direct from creators, optimised by AI",https://www.cartd.io/,"London, England, United Kingdom, Europe",Antler
Kalda,Kalda is the LGBTQIA+ mental wellness platform building a future of inclusive mental health support,https://kalda.co/,"London, England, United Kingdom, Europe",Antler
Volunteero,"Volunteero is a volunteer management platform that helps charities recruit, manage, and engage their volunteers in a more efficient way.",https://www.volunteero.org,"London, England, United Kingdom, Europe",Antler
Cooper Pet Care,Cooper Pet Care is a mobile pet care platform that provides a comprehensive range of health care services for cats and dogs.,https://cooperpetcare.com,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
Gleans,"Your Personal Content Hub. Combining the convenience of social media, with the flexibility of a website.",https://gleans.me/,"Berlin, Berlin, Germany, Europe",Antler
Topshelf,Topshelf app helps to build beauty profile through the digital bathroom shelf.,https://www.jointopshelf.com/en/,"Berlin, Berlin, Germany, Europe",Antler
Carepedia,Carepedia is a management system that helps merchants to manage their entire operations.,https://www.carepedia.co/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Treyd,"Procurement finance for fast-growing brands. Sell first, Pay Suppliers Later",https://www.treyd.io,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
NoMa,"NoMa is a real-time tracking platform that allows users to monitor their children's daily school bus commute, from home to school and back.",https://www.noma.co.ke/,"Nairobi, Nairobi Area, Kenya, Africa",Antler
comoon.xyz,No-code analytics platform for web3 communities,https://comoon.xyz/,"Berlin, Berlin, Germany, Europe",Antler
Hymdal,Hymdal helps early stage investors to find right companies for thier portfolio.,https://www.hymdal.co/,"Bjärred, Skane Lan, Sweden, Europe",Antler
NeoCarbon,"NeoCarbon is a cleantech startup that builds and markets the technology for Direct Air Capture (DAC), capturing CO2 directly from the air.",https://www.neocarbon.tech/,"Berlin, Berlin, Germany, Europe",Antler
PlanningHub,"PlanningHub analyses complex regulations and relevant planning applications, offering you rapid guidance.",https://planning-hub.com/,"London, England, United Kingdom, Europe",Antler
MuchBetter,MuchBetter offer realistic field simulations with AI-generated clients with individual feedback & performance tracking.,https://www.muchbetter.ai/,"Paris, Ile-de-France, France, Europe",Antler
Inspectral,Inspectral develops advance machine learning software systems by incorporating real-time multi and hyperspectral imaging.,https://inspectral.ai,"Søborg, Hovedstaden, Denmark, Europe",Antler
WePair,WePair is a premium accident repair concierge service.,https://www.wepair.kr/,"Seongdong, Kyonggi-do, South Korea, Asia",Antler
Passionfruit,"Passionfruit helps in collecting sustainability data, automate admin tasks, and share audit-ready sustainability responses.",https://www.passionfruit.earth/,"Rotterdam, Zuid-Holland, The Netherlands, Europe",Antler
Revive Retail,Revive Retail provides resale services for ecommerce retailers.,https://reviveretail.se/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
Roamefy,"Roamefy offers reliable insights and logistics information, enabling a community of travelers and experts to facilitate DIY travel.",https://www.roamefy.com/,"San Francisco, California, United States, North America",Antler
CipherX,CipherX is a tattoo device that allows users to design and create own tattoo with minimal pain and faster healing process.,https://www.cipherx.tech/,"London, England, United Kingdom, Europe",Antler
CYVI,CYVI provides cyber insurances and provides financial protection against cyber threats.,https://cyvi.io/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
Vega,Vega is an AI-powered copilot for compliance teams during customer on-boarding or transaction monitoring.,https://www.myvega.io/,"London, England, United Kingdom, Europe",Antler
Shai,"Shai generates, visualizes and collaborates on creative ideas at a lightning speed with the latest technology.",https://www.shaicreative.ai/,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
Rovers,"Rovers is a medium that connects people all over the world, and aims to become a leading agricultural IP company.",https://www.therovers.net/,"Songdong, Seoul-t'ukpyolsi, South Korea, Asia",Antler
Studynash,Student connection and recruitment platform,https://studynash.co/,"Adelaide, South Australia, Australia, Oceania",Antler
Gladys,Gladys matches the best local talent to help provide care at home for older people.,https://www.gladys.care/,"Bath, Bath and North East Somerset, United Kingdom, Europe",Antler
iodo,"iodo is an AI-driven optimisation solution for last-mile delivery, enabling real-time adaptability and real-world learning",https://www.iodo.ai,"London, England, United Kingdom, Europe",Antler
Lerno,"Lerno is a fully automated, AI-powered customer intelligence platform designed for B2B sales & marketing teams.",https://www.lerno.ai/,"London, England, United Kingdom, Europe",Antler
Jahazii,Jahazii helps institutional lenders to access creditworthy SMEs at scale.,https://www.jahazii.io,"Nairobi, Nairobi Area, Kenya, Africa",Antler
Factosquare,"Factosquare is a world where anyone creates products and creates brands, made in Factosquare, factory production process innovation.",https://factosquare.com/,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Antler
Sprinque,Sprinque offers a B2B checkout platform for merchants and marketplaces.,https://www.sprinque.com,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
Krispy,Krispy is a robust set of features designed to save time and make money delivering the right message to the right contact at the right time.,https://www.krispy.ai/,,Antler
Merx,Merx is a an AI platform that helps consumer businesses sell on WhatsApp.,https://hellomerx.com/,"London, England, United Kingdom, Europe",Antler
Fika.d,Gen AI tool that converts existing videos into multiple short-form videos with a single click.,https://fikad.boo/,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Antler
ZeroHome,"ZeroHome offers free installation of the system including battery on the roof, enabling users to reduce the energy bills and carbon impact.",https://zerohome.webflow.io/,"San Francisco, California, United States, North America",Antler
Spotlite,Spotlite relieves the burden of communication with many intermediate stakeholders in the model recruitment process.,https://spotlite.glide.page/dl/da19fa,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",Antler
ScaleMail,"ScaleMail replies automatically personalized emails in seconds, using AI and info found on LinkedIn and company websites.",https://scalemail.ai/,"Austin, Texas, United States, North America",Antler
48 Hours,48 Hours is a company that helps hotels improve the various metrics:,http://48-hrs.com/,"Sydney, New South Wales, Australia, Oceania",Antler
Proco.,Proco is an AI assistant designed for franchise owners and their staff.,https://www.proco.io,"Toronto, Ontario, Canada, North America",Antler
KORA,Kora focuses on empowering farmers and middlemen by connecting them to the industry through post-harvesting technologies.,https://koraagri.com/,"Bandung, Jawa Barat, Indonesia, Asia",Antler
KAKTI,An AI-driven optimization and prediction system for the future reliable district energy and a flexible grid.,https://www.kakti.ai,"Grindsted, Syddanmark, Denmark, Europe",Antler
VVFit Solutions,B2B Cutting-edge Remote Patient Monitoring and Healthcare Solutions.,https://vvfit.com,"Noida, Uttar Pradesh, India, Asia",Antler
inlike,inlike is a project management platform for real estate developers.,https://www.inlike.construction,"Los Angeles, California, United States, North America",Antler
Arkion,"Arkion provides accurate, scalable data, ensuring that your grid is robust and ready for the next century—and beyond.",https://www.arkion.co/,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
Andisor,"Andisor is a fashion B2B marketplace, connecting global emerging brands with Australian retailers.",https://www.andisor.com/,"Melbourne, Victoria, Australia, Oceania",Antler
Peckish,Peckish to improve the restaurant AI and digitalization to address important concerns including labour shortages and rising food costs.,https://iampeckish.com,"Amsterdam, Noord-Holland, The Netherlands, Europe",Antler
kora.id,Kora is an end to end supply chain solution for F&B services,http://kora.id/,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Sollective,Sollective is an invite-only freelancer network where companies can directly hire talent inside and outside of Japan.,https://sollective.jp,"Tokyo, Tokyo, Japan, Asia",Antler
Nobuk Africa,"Nobuk Africa is a payments reconciliation company enabling groups and collectives in Africa collect, reconcile and organize records .",https://www.nobuk.africa,"Nairobi, Nairobi Area, Kenya, Africa",Antler
Sleuth,Crowdsourced solutions for children's health.,https://www.hellosleuth.com,"Brooklyn, New York, United States, North America",Antler
Themison,Themison is a SaaS patient-centric platform that eases the clinical trials.,https://www.themison.com,"Copenhagen, Hovedstaden, Denmark, Europe",Antler
Converta,Converta guides B2B sales managers through their weekly pipeline review meetings and highlights.,https://www.converta.ai,"Berlin, Berlin, Germany, Europe",Antler
Physikit,Physikit is a medtech startup that claims to be the missing puzzle piece to easily implement blood testing in eHealth.,https://www.physikit.com/,"Berlin, Berlin, Germany, Europe",Antler
ditto,Ditto is a platform that promotes talent sharing that emphasises the importance of upskilling.,http://www.dittotalent.com,"London, England, United Kingdom, Europe",Antler
Immibot,Online Marketplace for Professional Services,https://immibot.ai,"Singapore, Central Region, Singapore, Asia",Antler
Peak Power,Peak Power is building a distributed energy balancing system by enabling smart and flexible usage of energy assets.,https://peakpower.io/,"Berlin, Berlin, Germany, Europe",Antler
amply,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.,https://www.getamply.io,"Berlin, Berlin, Germany, Europe",Antler
NetBird,NetBird is a cybersecurity company that is building an open-source platform to simplify the deployment of Virtual Private Networks.,https://netbird.io/,"Berlin, Berlin, Germany, Europe",Antler
SkoneLabs,SkoneLabs monitors fresh food and combats food loss and wastage in the fresh food industry by leveraging IoT and AI.,https://www.skonelabs.com,"Berlin, Berlin, Germany, Europe",Antler
infinit Bio,infinit Bio manufactures psychedelics through biosynthesis.,https://www.infinit.bio/,"Berlin, Berlin, Germany, Europe",Antler
Agenta,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.,https://agenta.ai,"Berlin, Berlin, Germany, Europe",Antler
Gomoto,"Gomoto offers consumers an instant, high valuation for their cars, combined with a quick sale turnaround.",https://www.getgomoto.de,"Berlin, Berlin, Germany, Europe",Antler
Carbon Centrum,Lower Carbon Emissions Where it is Made!,https://carboncentrum.com,"Oslo, Oslo, Norway, Europe",Antler
Homebase,Homebase is a fintech platform that provides real estate investment and financing solutions for individuals.,http://www.homebase.com.vn,"Ho Chi Minh City, NA - Vietnam, Vietnam, Asia",Antler
Kiip,Kiip is a data-driven influencer commerce specialized in nutritional supplements.,https://www.kiip.care,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",Antler
Reebelo,Reebelo is the world's favourite circular economy marketplace for refurbished tech & sustainable lifestyle products.,https://www.reebelo.com/,"San Mateo, California, United States, North America",Antler
Staffinc,Staffinc is a platform that provides workers and workforce management services for businesses.,https://staffinc.co,"Dki Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Reebelo,Reebelo is the world's favourite circular economy marketplace for refurbished tech & sustainable lifestyle products.,https://www.reebelo.com/,"San Mateo, California, United States, North America",Antler
Brick,Brick is a financial data application programming interface that allows developers to offer in-app financial services.,https://www.onebrick.io,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Vision Cine X,"Vision Cine X aims to revolutionize the way creatives collaborate, offering a tailored digital space for filmmakers.",https://visioncinex.com,"Phuket, Phuket, Thailand, Asia",Antler
Siftee,Helping analysts and researchers find open data more easily,https://siftee.io/,"Singapore, Central Region, Singapore, Asia",Antler
Volopay,Volopay simplifies business spending using corporate cards and automated payables.,https://www.volopay.com/,"Midview City, Central Region, Singapore, Asia",Antler
Tennis Finance,Automate financial compliance and get product insights with LLMs,https://www.tennisfinance.com,"San Francisco, California, United States, North America",Antler
Idenati,Idenati is a home screen of the internet that organizes everything online in one place and keeps track of all the passwords.,https://idenati.com,"New York, New York, United States, North America",Antler
Magic Returns,Magic is a sustainable returns reduction platform that reduces returns going back to the warehouse,https://usemagic.com,"Stockholm, Stockholms Lan, Sweden, Europe",Antler
Civils.ai,Eliminating rework and design errors on construction projects with Generative AI,https://civils.ai,"Singapore, Central Region, Singapore, Asia",Antler
TruClimate,Enterprise Carbon Management SaaS offering data-driven decarbonization strategy and easy access to high integrity Carbon Credit Marketplace,https://truclimate.earth,"Jakarta, Jakarta Raya, Indonesia, Asia",Antler
Retreat Foods,Retreat Foods offers superfood snacks made with functional ingredients.,https://www.retreatfoods.com,"Washington, District of Columbia, United States, North America",Antler
Wega Labs,Wega Labs is a AI gaming studio,https://wegalabs.com/,"Wilmington, Delaware, United States, North America",Antler
Casting Depot,Casting Depot is a professional network for on-camera gigs in the media and entertainment industry.,https://www.castingdepot.com/,"New York, New York, United States, North America",Antler
EnterMeme,MemeMarket is a Web3 Meme Crowdsourcing Platform and Popularity Market.,https://meme.market,"Cupertino, California, United States, North America",Antler
Sentry.co,Sentry.co - Digital sanctuary,https://sentry.co,"Oslo, Oslo, Norway, Europe",Antler
Lived,Lived is an app that supports people to drink less and live more.,https://lived.app,"Sydney, New South Wales, Australia, Oceania",Antler
